time,h=1e-06
0.0,0.5235987755982988
0.5,0.2244805185486008
1.0,-0.33408758391090576
1.5,-0.5077213250901298
2.0,-0.10075954719951694
2.5,0.42289367974569814
3.0,0.4609660542991243
3.5,-0.029338442067800702
4.0,-0.4856514013374619
4.5,-0.3859701917321288
5.0,0.15757788774503814
5.5,0.5187690966398338
6.0,0.2870849650529973
6.5,-0.2758695793814927
7.0,-0.5203956163519862
7.5,-0.17024006295932326
8.0,0.37688708915876873
8.5,0.49044081155963276
9.0,0.04265367222838782
9.5,-0.45455266208169115
10.0,-0.4305760764261463
