time,alpha=40
0.0,0.6981317007977318
0.0003000030000300003,0.6981315478802573
0.0006000060000600005,0.6981310891278549
0.0009000090000900008,0.6981303245406222
0.001200012000120001,0.6981292541187684
0.0015000150001500015,0.6981278778626141
0.0018000180001800016,0.6981261957725916
0.002100021000210002,0.6981242078492443
0.002400024000240002,0.6981219140932274
0.0027000270002700026,0.6981193145053074
0.003000030000300003,0.6981164090863623
0.003300033000330003,0.6981131978373816
0.0036000360003600033,0.6981096807594661
0.0039000390003900037,0.6981058578538284
0.004200042000420004,0.6981017291217924
0.004500045000450004,0.6980972945647933
0.004800048000480004,0.6980925541843781
0.005100051000510005,0.6980875079822051
0.005400054000540005,0.6980821559600442
0.0057000570005700055,0.6980764981197766
0.006000060000600006,0.698070534463395
0.0063000630006300054,0.6980642649930036
0.006600066000660006,0.6980576897108182
0.006900069000690006,0.698050808619166
0.007200072000720007,0.6980436217204857
0.007500075000750007,0.6980361290173275
0.007800078000780007,0.6980283305123529
0.008100081000810007,0.6980202262083351
0.008400084000840007,0.6980118161081589
0.008700087000870008,0.6980031002148201
0.009000090000900008,0.6979940785314266
0.009300093000930008,0.6979847510611972
0.009600096000960009,0.6979751178074626
0.00990009900099001,0.6979651787736648
0.01020010200102001,0.6979549339633575
0.01050010500105001,0.6979443833802057
0.01080010800108001,0.697933527027986
0.01110011100111001,0.6979223649105862
0.011400114001140011,0.6979108970320062
0.011700117001170011,0.6978991233963567
0.012000120001200012,0.6978870440078606
0.01230012300123001,0.6978746588708518
0.012600126001260011,0.6978619679897758
0.012900129001290011,0.6978489713691899
0.013200132001320012,0.6978356690137625
0.013500135001350012,0.6978220609282738
0.013800138001380012,0.6978081471176154
0.014100141001410013,0.6977939275867904
0.014400144001440013,0.6977794023409134
0.014700147001470014,0.6977645713852106
0.015000150001500014,0.6977494347250198
0.015300153001530014,0.6977339923657903
0.015600156001560015,0.6977182443130826
0.015900159001590013,0.6977021905725691
0.016200162001620014,0.6976858311500336
0.016500165001650014,0.6976691660513714
0.016800168001680015,0.6976521952825895
0.017100171001710015,0.6976349188498062
0.017400174001740015,0.6976173367592516
0.017700177001770016,0.6975994490172671
0.018000180001800016,0.6975812556303058
0.018300183001830016,0.6975627566049323
0.018600186001860017,0.6975439519478227
0.018900189001890017,0.6975248416657648
0.019200192001920018,0.6975054257656579
0.019500195001950018,0.6974857042545127
0.01980019800198002,0.6974656771394517
0.02010020100201002,0.6974453444277089
0.02040020400204002,0.6974247061266297
0.02070020700207002,0.6974037622436712
0.02100021000210002,0.6973825127864022
0.02130021300213002,0.6973609577625028
0.02160021600216002,0.697339097179765
0.02190021900219002,0.6973169310460923
0.02220022200222002,0.6972944593694994
0.022500225002250022,0.6972716821581131
0.022800228002280022,0.6972485994201716
0.023100231002310023,0.6972252111640246
0.023400234002340023,0.6972015173981336
0.023700237002370023,0.6971775181310715
0.024000240002400024,0.697153213371523
0.02430024300243002,0.6971286031282844
0.02460024600246002,0.6971036874102633
0.02490024900249002,0.6970784662264793
0.025200252002520022,0.6970529395860635
0.025500255002550022,0.6970271074982586
0.025800258002580023,0.6970009699724189
0.026100261002610023,0.6969745270180103
0.026400264002640023,0.6969477786446105
0.026700267002670024,0.6969207248619088
0.027000270002700024,0.696893365679706
0.027300273002730024,0.6968657011079146
0.027600276002760025,0.6968377311565589
0.027900279002790025,0.6968094558357747
0.028200282002820026,0.6967808751558096
0.028500285002850026,0.6967519891270226
0.028800288002880026,0.6967227977598848
0.029100291002910027,0.6966933010649785
0.029400294002940027,0.696663499052998
0.029700297002970028,0.6966333917347491
0.030000300003000028,0.6966029791211495
0.03030030300303003,0.6965722612232285
0.03060030600306003,0.6965412380521269
0.03090030900309003,0.6965099096190974
0.03120031200312003,0.6964782759355045
0.03150031500315003,0.6964463370128242
0.03180031800318003,0.6964140928626443
0.03210032100321003,0.6963815434966643
0.03240032400324003,0.6963486889266953
0.03270032700327003,0.6963155291646606
0.03300033000330003,0.6962820642225945
0.03330033300333003,0.6962482941126438
0.03360033600336003,0.6962142188470664
0.03390033900339003,0.6961798384382323
0.03420034200342003,0.6961451528986232
0.034500345003450034,0.6961101622408327
0.03480034800348003,0.6960748664775657
0.035100351003510034,0.6960392656216393
0.03540035400354003,0.6960033596859823
0.035700357003570035,0.6959671486836351
0.03600036000360003,0.6959306326277501
0.036300363003630036,0.6958938115315915
0.03660036600366003,0.695856685408535
0.03690036900369004,0.6958192542720683
0.037200372003720034,0.6957815181357908
0.03750037500375004,0.695743477013414
0.037800378003780034,0.695705130918761
0.03810038100381004,0.6956664798657666
0.038400384003840035,0.6956275238684776
0.03870038700387003,0.6955882629410527
0.039000390003900036,0.6955486970977622
0.03930039300393003,0.6955088263529886
0.03960039600396004,0.6954686507212258
0.039900399003990034,0.6954281702170798
0.04020040200402004,0.6953873848552686
0.040500405004050034,0.6953462946506218
0.04080040800408004,0.6953048996180811
0.041100411004110035,0.6952631997726998
0.04140041400414004,0.6952211951296433
0.041700417004170036,0.6951788857041888
0.04200042000420004,0.6951362715117256
0.04230042300423004,0.6950933525677546
0.04260042600426004,0.6950501288878889
0.04290042900429004,0.6950066004878531
0.04320043200432004,0.6949627673834843
0.04350043500435004,0.694918629590731
0.04380043800438004,0.694874187125654
0.04410044100441004,0.6948294400044257
0.04440044400444004,0.6947843882433308
0.04470044700447004,0.6947390318587657
0.045000450004500044,0.694693370867239
0.04530045300453004,0.6946474052853711
0.045600456004560044,0.6946011351298942
0.04590045900459004,0.6945545604176528
0.046200462004620045,0.6945076811656034
