time,h=0.1
0.0,1.0
0.1,1.0
0.2,1.01
0.30000000000000004,1.0302
0.4,1.061106
0.5,1.1035502400000001
0.6000000000000001,1.158727752
0.7000000000000001,1.22825141712
0.8,1.3142290163184
0.9,1.419367337623872
1.0,1.5471103980100205
1.1,1.7018214378110226
1.2000000000000002,1.8890217959702351
1.3,2.1157044114866634
1.4000000000000001,2.3907459849799295
1.5,2.7254504228771195
1.6,3.1342679863086875
1.7000000000000002,3.6357508641180774
1.8,4.253828511018151
1.9000000000000001,5.019517643001418
2.0,5.9732259951716875
