time,h=1e-06
0.0,0.5235987755982988
0.5,0.22448007455327856
1.0,-0.3340875213949052
1.5,-0.5077204346261585
2.0,-0.10075889972807381
2.5,0.422892858594358
3.0,0.4609643531480288
3.5,-0.029338954542973462
4.0,-0.4856496311871014
4.5,-0.3859678417878131
5.0,0.15757791143354294
5.5,0.5187662572084427
6.0,0.28708221246024174
6.5,-0.275868767829217
7.0,-0.52039166624163
7.5,-0.17023723592525472
8.0,0.3768851256047044
8.5,0.4904357997579936
9.0,0.042651170570913
9.5,-0.45454927979210663
10.0,-0.4305701564904672
