time,h=0.1
0.0,1.0
0.1,1.0050125208333334
0.2,1.0202013397583685
0.30000000000000004,1.0460278588859704
0.4,1.083287064820495
0.5,1.1331484461175372
0.6000000000000001,1.197217347412631
0.7000000000000001,1.2776212794691097
0.8,1.3771276949019418
0.9,1.4993023624483242
1.0,1.6487210070533966
1.1,1.8312517186480224
1.2000000000000002,2.054432322508893
1.3,2.3279762411920313
1.4000000000000001,2.6644535070948603
1.5,3.0802121706639074
1.6,3.596631828763819
1.7000000000000002,4.24183895864627
1.8,5.053068500297393
1.9000000000000001,6.079935604679877
2.0,7.388997533818887
