time,h=0.01
0.0,1.0
0.01,1.0
0.02,1.0001
0.03,1.00030002
0.04,1.000600110006
0.05,1.0010003500500024
0.06,1.0015008502250273
0.07,1.0021017507351624
0.08,1.002803221960677
0.09,1.0036054645382455
0.1,1.0045087094563299
0.11,1.0055132181657862
0.12,1.0066192827057685
0.13,1.0078272258450154
0.14,1.0091374012386138
0.15,1.0105501936003478
0.16,1.0120660188907484
0.17,1.0136853245209736
0.18,1.0154085895726592
0.19,1.01723632503389
0.2,1.0191690740514545
0.21,1.0212074121995574
0.22,1.0233519477651765
0.23,1.0256033220502598
0.24,1.0279622096909755
0.25,1.030429318994234
0.26,1.0330053922917195
0.27,1.0356912063116779
0.28,1.0384875725687195
0.29,1.0413953377719118
0.3,1.0444153842514503
0.31,1.0475486304042048
0.32,1.0507960311584579
0.33,1.0541585784581649
0.34,1.0576373017670768
0.35000000000000003,1.061233268593085
0.36,1.0649475850331607
0.37,1.06878139633928
0.38,1.0727358875057353
0.39,1.0768122838782572
0.4,1.0810118517853824
0.41000000000000003,1.085335899192524
0.42,1.0897857763792134
0.43,1.094362876640006
0.44,1.099068637009558
0.45,1.1039045390124
0.46,1.1088721094379559
0.47000000000000003,1.1139729211413705
0.48,1.119208593870735
0.49,1.1245807951213145
0.5,1.1300912410174089
0.51,1.1357416972224958
0.52,1.1415339798783306
0.53,1.1474699565736979
0.54,1.1535515473435385
0.55,1.1597807256991937
0.56,1.1661595196905392
0.5700000000000001,1.1726900130008062
0.58,1.1793743460749109
0.59,1.1862147172821453
0.6,1.19321338411411
0.61,1.2003726644187946
0.62,1.2076949376717492
0.63,1.215182646285314
0.64,1.2228382969569114
0.65,1.2306644620574356
0.66,1.238663781060809
0.67,1.2468389620158102
0.68,1.255192783061316
0.6900000000000001,1.263728093986133
0.7000000000000001,1.2724478178346375
0.71,1.2813549525594798
0.72,1.2904525727226521
0.73,1.2997438312462553
0.74,1.3092319612143528
0.75,1.318920277727339
0.76,1.328812179810294
0.77,1.3389111523768524
0.78,1.3492207682501542
0.79,1.3597446902425054
0.8,1.3704866732954213
0.81,1.3814505666817847
0.8200000000000001,1.3926403162719072
0.8300000000000001,1.4040599668653369
0.84,1.4157136645903192
0.85,1.4276056593728779
0.86,1.4397403074775472
0.87,1.4521220741218541
0.88,1.4647555361667142
0.89,1.4776453848849813
0.9,1.4907964288104576
0.91,1.5042135966697516
0.92,1.5179019403994465
0.93,1.5318666382511215
0.9400000000000001,1.5461129979868569
0.9500000000000001,1.5606464601679333
0.96,1.5754726015395286
0.97,1.590597138514308
0.98,1.6060259307578968
0.99,1.621764984879324
1.0,1.6378204582296294
1.01,1.6541986628119256
1.02,1.670906069306326
1.03,1.6879493112132506
1.04,1.7053351891187472
1.05,1.7230706750855822
1.06,1.7411629171739809
1.07,1.759619244096025
1.08,1.7784471700078526
1.09,1.7976543994439373
1.1,1.8172488323978762
1.11,1.8372385695542528
1.12,1.857631917676305
1.1300000000000001,1.8784373951542797
1.1400000000000001,1.8996637377195231
1.1500000000000001,1.9213199043295257
1.16,1.9434150832293153
1.17,1.9659586981947754
1.18,1.9889604149636544
1.19,2.0124301478602256
1.2,2.036378066619762
1.21,2.060814603419199
1.22,2.0857504601205714
1.23,2.1111966157340425
1.24,2.1371643341075712
1.25,2.1636651718505053
1.26,2.1907109864986367
1.27,2.2183139449285196
1.28,2.246486532029112
1.29,2.2752415596390847
1.3,2.3045921757584287
1.31,2.3345518740432882
1.32,2.3651345035932554
1.33,2.396354279040686
1.34,2.4282257909519274
1.35,2.460764016550683
1.36,2.4939843307741176
1.37,2.5279025176726457
1.3800000000000001,2.562534782164761
1.3900000000000001,2.5978977621586345
1.4000000000000001,2.6340085410526397
1.41,2.670884660627377
1.42,2.708544134342223
1.43,2.7470054610498824
1.44,2.7862876391428957
1.45,2.8264101811465534
1.46,2.8673931287731786
1.47,2.9092570684532673
1.48,2.9520231473595304
1.49,2.9957130899404514
1.5,3.040349214980564
1.51,3.0859544532052725
1.52,3.132552365448672
1.53,3.180167161403492
1.54,3.2288237189729654
1.55,3.278547604245149
1.56,3.3293650921109488
1.57,3.3813031875478794
1.58,3.434389647592381
1.59,3.4886530040243406
1.6,3.5441225867883275
1.61,3.6008285481769406
1.62,3.658801887802589
1.6300000000000001,3.7180744783849913
1.6400000000000001,3.7786790923826667
1.6500000000000001,3.8406494294977427
1.6600000000000001,3.9040201450844556
1.67,3.9688268794928576
1.68,4.035106288380389
1.69,4.102896074025179
1.7,4.172235017676205
1.71,4.243163012976701
1.72,4.315721100498602
1.73,4.389951503427178
1.74,4.4658976644364685
1.75,4.543604283797663
1.76,4.623117358764122
1.77,4.704484224278371
1.78,4.787753595048098
1.79,4.872975609039955
1.8,4.96020187244177
1.81,5.049485506145722
1.82,5.140881193806959
1.83,5.234445231534246
1.84,5.3302355792713225
1.85,5.428311913929915
1.86,5.528735684337618
1.87,5.631570168066298
1.8800000000000001,5.736880530209137
1.8900000000000001,5.844733884177069
1.9000000000000001,5.955199354588015
1.9100000000000001,6.0683481423251875
1.92,6.184253591843599
1.93,6.302991260806996
1.94,6.424638992140571
1.95,6.549276988588098
1.96,6.676987889865567
1.97,6.807856852506932
1.98,6.9419716325013185
1.99,7.079422670824845
2.0,7.220303181974259
