time,h=0.0001
0.0,0.5235987755982988
0.5,0.22446609597970738
1.0,-0.3341640813674244
1.5,-0.5078303411643952
2.0,-0.10076783337964175
2.5,0.4230651114696055
3.0,0.46117359883640124
3.5,-0.02935142429247278
4.0,-0.48594270153892166
4.5,-0.3862549299466697
5.0,0.1576582328054284
5.5,0.5191961183967916
6.0,0.2874143838966318
6.5,-0.2760626663602096
7.0,-0.5209638487775511
7.5,-0.17057067550809932
8.0,0.37723472307194916
8.5,0.4911436930965565
9.0,0.042932284919619555
9.5,-0.45509037473536773
10.0,-0.43139292721602734
