time,h=1e-06
0.0,0.5235987755982988
0.5,0.2244800745533686
1.0,-0.3340875213947506
1.5,-0.5077204346262251
2.0,-0.10075889972846847
2.5,0.4228928585940608
3.0,0.46096435314832085
3.5,-0.02933895454227418
4.0,-0.4856496311868183
4.5,-0.3859678417884347
5.0,0.15757791143258343
5.5,0.5187662572082982
6.0,0.2870822124612704
6.5,-0.275868767828091
7.0,-0.5203916662417848
7.5,-0.17023723592670784
8.0,0.3768851256035723
8.5,0.4904357997585955
9.0,0.04265117057274894
9.5,-0.4545492797911447
10.0,-0.43057015649162156
