time,h=0.001
0.0,0.5235987755982988
0.5,0.22478405402320373
1.0,-0.3349220407106081
1.5,-0.509724328650119
2.0,-0.10150332191718332
2.5,0.42545572618413413
3.0,0.4647951967205684
3.5,-0.02893711424714574
4.0,-0.49039288831796723
4.5,-0.3912580181539497
5.0,0.15834105935827075
5.5,0.5259835971626694
6.0,0.293267876781217
6.5,-0.2786090741839192
7.0,-0.530198411838422
7.5,-0.17656095559899634
8.0,0.3823555450377401
8.5,0.5027415544434712
9.0,0.04818196194175046
9.5,-0.4633985448362266
10.0,-0.44504348566259977
