time,h=0.01
0.0,1.0
0.01,1.0000500012500209
0.02,1.0002000200013335
0.03,1.0004501012651892
0.04,1.0008003200853504
0.05,1.0012507815756224
0.06,1.0018016209724374
0.07,1.0024530037025225
0.08,1.0032051254657048
0.09,1.0040582123329063
0.1,1.0050125208594005
0.11,1.0060683382134104
0.12,1.007225982320135
0.13,1.0084858020213092
0.14,1.0098481772504067
0.15,1.01131351922361
0.16,1.012882270646682
0.17,1.0145549059378849
0.18,1.016331931467102
0.19,1.018213885811335
0.2,1.020201340026752
0.21,1.0222948979374833
0.22,1.0244951964413664
0.23,1.0268029058328592
0.24,1.0292187301433475
0.25,1.0317434074990937
0.26,1.0343777104970744
0.27,1.0371224465989826
0.28,1.0399784585436693
0.29,1.0429466247783235
0.3,1.046027859908697
0.31,1.0492231151686986
0.32,1.0525333789096945
0.33,1.0559596771098663
0.34,1.059503073903996
0.35000000000000003,1.0631646721340589
0.36,1.0669456139210245
0.37,1.0708470812582789
0.38,1.0748702966271013
0.39,1.0790165236346432
0.4,1.0832870676748736
0.41000000000000003,1.0876832766129785
0.42,1.0922065414937112
0.43,1.096858297274219
0.44,1.1016400235818822
0.45,1.106553245497729
0.46,1.111599534366002
0.47000000000000003,1.1167805086304814
0.48,1.122097834698185
0.49,1.1275532278310878
0.5,1.1331484530665328
0.51,1.1388853261670182
0.52,1.1447657146000783
0.53,1.1507915385489953
0.54,1.1569647719551077
0.55,1.1632874435925034
0.56,1.1697616381759164
0.5700000000000001,1.1763894975026712
0.58,1.1831732216295479
0.59,1.19011507008547
0.6,1.197217363120949
0.61,1.2044824829952496
0.62,1.2119128753022685
0.63,1.219511050336161
0.64,1.2272795844977733
0.65,1.2352211217429827
0.66,1.2433383750740783
0.67,1.2516341280753545
0.68,1.260111236494128
0.6900000000000001,1.2687726298684296
0.7000000000000001,1.277621313202659
0.71,1.286660368692541
0.72,1.2958929575007572
0.73,1.305322321584676
0.74,1.3149517855776534
0.75,1.3247847587254167
0.76,1.334824736879103
0.77,1.345075304546569
0.78,1.355540137003641
0.79,1.3662230024670357
0.8,1.37712776433073
0.81,1.388258383467625
0.8200000000000001,1.3996189205983993
0.8300000000000001,1.4112135387295224
0.84,1.4230465056624495
0.85,1.435122196576096
0.86,1.4474450966847547
0.87,1.460019803973687
0.88,1.4728510320146986
0.89,1.4859436128640837
0.9,1.4993025000453963
0.91,1.5129327716195953
0.92,1.5268396333451895
0.93,1.5410284219310955
0.9400000000000001,1.555504608385014
0.9500000000000001,1.5702738014602193
0.96,1.5853417512037558
0.97,1.6007143526091312
0.98,1.6163976493767052
0.99,1.6323978377850683
1.0,1.6487212706768273
1.01,1.6653744615623178
1.02,1.6823640888448874
1.03,1.6996970001715135
1.04,1.717380216912645
1.05,1.7354209387752892
1.06,1.7538265485534965
1.07,1.772604617020542
1.08,1.7917629079672392
1.09,1.8113093833909788
1.1,1.8312522088402339
1.11,1.8515997589194382
1.12,1.8723606229593082
1.1300000000000001,1.8935436108578498
1.1400000000000001,1.915157759097474
1.1500000000000001,1.9372123369438243
1.16,1.9597168528321143
1.17,1.9826810609469683
1.18,2.0061149680019668
1.19,2.0300288402253046
1.2,2.0544332105581997
1.21,2.079338886072906
1.22,2.104756955617429
1.23,2.1306987976942833
1.24,2.157176088580891
1.25,2.184200810699466
1.26,2.211785261244526
1.27,2.239942061076434
1.28,2.2686841638896733
1.29,2.298024865664869
1.3,2.3279778144138654
1.31,2.358557020227514
1.32,2.389776865636151
1.33,2.4216521162930986
1.34,2.454197931991886
1.35,2.4874298780282644
1.36,2.521363936918474
1.37,2.556016520485634
1.3800000000000001,2.5914044823265425
1.3900000000000001,2.6275451306716024
1.4000000000000001,2.6644562416510547
1.41,2.7021560729811527
1.42,2.7406633780844083
1.43,2.779997420658539
1.44,2.82017798970927
1.45,2.8612254150626844
1.46,2.903160583373384
1.47,2.946004954645295
1.48,2.989780579282574
1.49,3.034510115688686
1.5,3.0802168484323813
1.51,3.126924706999985
1.52,3.174658285154096
1.53,3.223442860919544
1.54,3.273304417218197
1.55,3.3242696631749955
1.56,3.376366056118422
1.57,3.429621824299443
1.58,3.484065990353854
1.59,3.5397283955338636
1.6,3.596639724735712
1.61,3.6548315323510896
1.62,3.714336268971161
1.6300000000000001,3.7751873089730545
1.6400000000000001,3.8374189790197764
1.6500000000000001,3.9010665875056736
1.6600000000000001,3.9661664549807427
1.67,4.032755945588328
1.68,4.100873499552044
1.69,4.170558666749081
1.7,4.241852141408455
1.71,4.314795797974206
1.72,4.389432728175023
1.73,4.465807279343379
1.74,4.543965094028847
1.75,4.623953150951942
1.76,4.705819807346637
1.77,4.7896148427414555
1.78,4.875389504230989
1.79,4.963196553291621
1.8,5.05309031419731
1.81,5.145126724093385
1.82,5.239363384788548
1.83,5.3358596163275545
1.84,5.434676512409453
1.85,5.535876997718737
1.86,5.639525887239371
1.87,5.745689947624324
1.8800000000000001,5.854437960696075
1.8900000000000001,5.965840789156416
1.9000000000000001,6.079971444586991
1.9100000000000001,6.196905157825079
1.92,6.3167194518024745
1.93,6.439494216938704
1.94,6.565311789183389
1.95,6.694257030806252
1.96,6.826417414037128
1.97,6.961883107662347
1.98,7.100747066688015
1.99,7.243105125185102
2.0,7.389056092435715
