time,h=1e-07
0.0,0.5235987755982988
0.5,0.22448020165850202
1.0,-0.3340868253918956
1.5,-0.5077194356218679
2.0,-0.10075881870590128
2.5,0.4228912928154291
3.0,0.4609624515194118
3.5,-0.02933884074380473
4.0,-0.4856469675010333
4.5,-0.3859652333220544
5.0,0.15757718056652403
5.5,0.5187623508121589
6.0,0.28707919537484383
6.5,-0.27586700436768696
7.0,-0.5203864674559826
7.5,-0.17023420893294364
8.0,0.3768819470127943
8.5,0.490429369500493
9.0,0.0426486211547072
9.5,-0.45454436133430587
10.0,-0.430562685186357
